start,end,date,lat,long,districts,wards,communities,grid,road_available,road_type/paved,road_type/gravel,road_type/dirt,road_type/other,road_type/na_dn,road_type/none,signal,water_point_condition,water_source_type,water_connected,water_lift_mechanism,water_lift_mechanism_type,water_mechanism_plate,water_developer,water_manager,water_pay,water_functioning,water_not_functioning/missing_parts,water_not_functioning/lift_broken,water_not_functioning/kiosk_broken,water_not_functioning/poor_water,water_not_functioning/water_source_dry,water_not_functioning/under_construction,water_not_functioning/improperly_constr,water_not_functioning/na_dn,water_not_functioning/other,water_not_functioning/none,water_not_functioning_other,other_point_1km,water_used_season,animal_point,animal_number
2012-02-12T15:07:44.009Z,2012-02-12T15:11:01.735Z,2012-02-12,8.24500763,-3.74318964,northern,kidal,niafunke,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,unprotected_well,no,no,n/a,n/a,community,community,no,no,False,False,False,False,True,False,False,False,False,False,n/a,yes,year_round,no,n/a
2012-02-12T15:11:15.446Z,2012-02-12T15:14:58.749Z,2012-02-12,8.244172,-3.74366829,northern,kidal,niafunke,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,protected_well,no,no,n/a,n/a,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,10_to_50
2012-02-12T15:02:50.686Z,2012-02-12T15:07:22.012Z,2012-02-12,8.24510465,-3.74331687,northern,kidal,niafunke,grid_further_500_m,yes,False,True,True,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T15:05:12.827Z,2012-02-12T15:09:47.536Z,2012-02-12,8.24462536,-3.74582827,northern,kidal,niafunke,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,protected_well,no,yes,manual_power,no,international,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T14:59:06.391Z,2012-02-12T15:01:38.454Z,2012-02-12,8.24653133,-3.74517789,northern,kidal,niafunke,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T14:53:45.681Z,2012-02-12T14:57:03.131Z,2012-02-12,8.24608566,-3.74415802,northern,kidal,niafunke,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,yes,manual_power,no,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,wet_season,yes,50_to_500
2012-02-10T08:51:54.089Z,2012-02-10T08:55:42.163Z,2012-02-10,8.2594448,-3.84798472,northern,kidal,dire,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,high,functioning,borehole,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-10T08:35:35.397Z,2012-02-10T08:41:39.454Z,2012-02-10,8.25840916,-3.8478458,northern,kidal,dire,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,high,broken,unprotected_well,no,yes,manual_power,no,community,community,no,no,False,False,False,True,False,False,False,False,False,False,n/a,yes,cannot_determine,no,n/a
2012-02-10T08:33:53.847Z,2012-02-10T22:03:31.409Z,2012-02-10,8.26330337,-3.85170902,northern,kidal,dire,grid_further_500_m,yes,False,False,True,False,False,False,high,functioning,borehole,no,yes,manual_power,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,dry_season,no,n/a
2012-02-10T09:36:30.925Z,2012-02-10T22:25:58.409Z,2012-02-10,8.26393041,-3.84885083,northern,kidal,dire,grid_further_500_m,yes,False,False,True,False,False,False,high,functioning,unprotected_well,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
